"location","date","total_cases_per_million","total_deaths_per_million","new_cases_smoothed_per_million","people_fully_vaccinated_per_hundred"
"Brazil","2020-01-05",0,0,NA,NA
"Brazil","2020-01-06",0,0,NA,NA
"Brazil","2020-01-07",0,0,NA,NA
"Brazil","2020-01-08",0,0,NA,NA
"Brazil","2020-01-09",0,0,NA,NA
"Brazil","2020-01-10",0,0,0,NA
"Brazil","2020-01-11",0,0,0,NA
"Brazil","2020-01-12",0,0,0,NA
"Brazil","2020-01-13",0,0,0,NA
"Brazil","2020-01-14",0,0,0,NA
"Brazil","2020-01-15",0,0,0,NA
"Brazil","2020-01-16",0,0,0,NA
"Brazil","2020-01-17",0,0,0,NA
"Brazil","2020-01-18",0,0,0,NA
"Brazil","2020-01-19",0,0,0,NA
"Brazil","2020-01-20",0,0,0,NA
"Brazil","2020-01-21",0,0,0,NA
"Brazil","2020-01-22",0,0,0,NA
"Brazil","2020-01-23",0,0,0,NA
"Brazil","2020-01-24",0,0,0,NA
"Brazil","2020-01-25",0,0,0,NA
"Brazil","2020-01-26",0,0,0,NA
"Brazil","2020-01-27",0,0,0,NA
"Brazil","2020-01-28",0,0,0,NA
"Brazil","2020-01-29",0,0,0,NA
"Brazil","2020-01-30",0,0,0,NA
"Brazil","2020-01-31",0,0,0,NA
"Brazil","2020-02-01",0,0,0,NA
"Brazil","2020-02-02",0,0,0,NA
"Brazil","2020-02-03",0,0,0,NA
"Brazil","2020-02-04",0,0,0,NA
"Brazil","2020-02-05",0,0,0,NA
"Brazil","2020-02-06",0,0,0,NA
"Brazil","2020-02-07",0,0,0,NA
"Brazil","2020-02-08",0,0,0,NA
"Brazil","2020-02-09",0,0,0,NA
"Brazil","2020-02-10",0,0,0,NA
"Brazil","2020-02-11",0,0,0,NA
"Brazil","2020-02-12",0,0,0,NA
"Brazil","2020-02-13",0,0,0,NA
"Brazil","2020-02-14",0,0,0,NA
"Brazil","2020-02-15",0,0,0,NA
"Brazil","2020-02-16",0,0,0,NA
"Brazil","2020-02-17",0,0,0,NA
"Brazil","2020-02-18",0,0,0,NA
"Brazil","2020-02-19",0,0,0,NA
"Brazil","2020-02-20",0,0,0,NA
"Brazil","2020-02-21",0,0,0,NA
"Brazil","2020-02-22",0,0,0,NA
"Brazil","2020-02-23",0,0,0,NA
"Brazil","2020-02-24",0,0,0,NA
"Brazil","2020-02-25",0,0,0,NA
"Brazil","2020-02-26",0,0,0,NA
"Brazil","2020-02-27",0,0,0,NA
"Brazil","2020-02-28",0,0,0,NA
"Brazil","2020-02-29",0,0,0,NA
"Brazil","2020-03-01",0,0,0,NA
"Brazil","2020-03-02",0,0,0,NA
"Brazil","2020-03-03",0,0,0,NA
"Brazil","2020-03-04",0,0,0,NA
"Brazil","2020-03-05",0,0,0,NA
"Brazil","2020-03-06",0,0,0,NA
"Brazil","2020-03-07",0,0,0,NA
"Brazil","2020-03-08",0.06,0,0.01,NA
"Brazil","2020-03-09",0.06,0,0.01,NA
"Brazil","2020-03-10",0.06,0,0.01,NA
"Brazil","2020-03-11",0.06,0,0.01,NA
"Brazil","2020-03-12",0.06,0,0.01,NA
"Brazil","2020-03-13",0.06,0,0.01,NA
"Brazil","2020-03-14",0.06,0,0.01,NA
"Brazil","2020-03-15",0.4,0,0.05,NA
"Brazil","2020-03-16",0.4,0,0.05,NA
"Brazil","2020-03-17",0.4,0,0.05,NA
"Brazil","2020-03-18",0.4,0,0.05,NA
"Brazil","2020-03-19",0.4,0,0.05,NA
"Brazil","2020-03-20",0.4,0,0.05,NA
"Brazil","2020-03-21",0.4,0,0.05,NA
"Brazil","2020-03-22",4.3,0.05,0.56,NA
"Brazil","2020-03-23",4.3,0.05,0.56,NA
"Brazil","2020-03-24",4.3,0.05,0.56,NA
"Brazil","2020-03-25",4.3,0.05,0.56,NA
"Brazil","2020-03-26",4.3,0.05,0.56,NA
"Brazil","2020-03-27",4.3,0.05,0.56,NA
"Brazil","2020-03-28",4.3,0.05,0.56,NA
"Brazil","2020-03-29",16.25,0.44,1.71,NA
"Brazil","2020-03-30",16.25,0.44,1.71,NA
"Brazil","2020-03-31",16.25,0.44,1.71,NA
"Brazil","2020-04-01",16.25,0.44,1.71,NA
"Brazil","2020-04-02",16.25,0.44,1.71,NA
"Brazil","2020-04-03",16.25,0.44,1.71,NA
"Brazil","2020-04-04",16.25,0.44,1.71,NA
"Brazil","2020-04-05",43.06,1.71,3.83,NA
"Brazil","2020-04-06",43.06,1.71,3.83,NA
"Brazil","2020-04-07",43.06,1.71,3.83,NA
"Brazil","2020-04-08",43.06,1.71,3.83,NA
"Brazil","2020-04-09",43.06,1.71,3.83,NA
"Brazil","2020-04-10",43.06,1.71,3.83,NA
"Brazil","2020-04-11",43.06,1.71,3.83,NA
"Brazil","2020-04-12",93.38,5.02,7.19,NA
"Brazil","2020-04-13",93.38,5.02,7.19,NA
"Brazil","2020-04-14",93.38,5.02,7.19,NA
"Brazil","2020-04-15",93.38,5.02,7.19,NA
"Brazil","2020-04-16",93.38,5.02,7.19,NA
"Brazil","2020-04-17",93.38,5.02,7.19,NA
"Brazil","2020-04-18",93.38,5.02,7.19,NA
"Brazil","2020-04-19",160.16,10.18,9.54,NA
"Brazil","2020-04-20",160.16,10.18,9.54,NA
"Brazil","2020-04-21",160.16,10.18,9.54,NA
"Brazil","2020-04-22",160.16,10.18,9.54,NA
"Brazil","2020-04-23",160.16,10.18,9.54,NA
"Brazil","2020-04-24",160.16,10.18,9.54,NA
"Brazil","2020-04-25",160.16,10.18,9.54,NA
"Brazil","2020-04-26",251.99,17.45,13.12,NA
"Brazil","2020-04-27",251.99,17.45,13.12,NA
"Brazil","2020-04-28",251.99,17.45,13.12,NA
"Brazil","2020-04-29",251.99,17.45,13.12,NA
"Brazil","2020-04-30",251.99,17.45,13.12,NA
"Brazil","2020-05-01",251.99,17.45,13.12,NA
"Brazil","2020-05-02",251.99,17.45,13.12,NA
"Brazil","2020-05-03",435.5,30.09,26.22,NA
"Brazil","2020-05-04",435.5,30.09,26.22,NA
"Brazil","2020-05-05",435.5,30.09,26.22,NA
"Brazil","2020-05-06",435.5,30.09,26.22,NA
"Brazil","2020-05-07",435.5,30.09,26.22,NA
"Brazil","2020-05-08",435.5,30.09,26.22,NA
"Brazil","2020-05-09",435.5,30.09,26.22,NA
"Brazil","2020-05-10",691.03,47.06,36.5,NA
"Brazil","2020-05-11",691.03,47.06,36.5,NA
"Brazil","2020-05-12",691.03,47.06,36.5,NA
"Brazil","2020-05-13",691.03,47.06,36.5,NA
"Brazil","2020-05-14",691.03,47.06,36.5,NA
"Brazil","2020-05-15",691.03,47.06,36.5,NA
"Brazil","2020-05-16",691.03,47.06,36.5,NA
"Brazil","2020-05-17",1037.64,70.45,49.52,NA
"Brazil","2020-05-18",1037.64,70.45,49.52,NA
"Brazil","2020-05-19",1037.64,70.45,49.52,NA
"Brazil","2020-05-20",1037.64,70.45,49.52,NA
"Brazil","2020-05-21",1037.64,70.45,49.52,NA
"Brazil","2020-05-22",1037.64,70.45,49.52,NA
"Brazil","2020-05-23",1037.64,70.45,49.52,NA
"Brazil","2020-05-24",1573.37,100.08,76.53,NA
"Brazil","2020-05-25",1573.37,100.08,76.53,NA
"Brazil","2020-05-26",1573.37,100.08,76.53,NA
"Brazil","2020-05-27",1573.37,100.08,76.53,NA
"Brazil","2020-05-28",1573.37,100.08,76.53,NA
"Brazil","2020-05-29",1573.37,100.08,76.53,NA
"Brazil","2020-05-30",1573.37,100.08,76.53,NA
"Brazil","2020-05-31",2211.85,132.56,91.21,NA
"Brazil","2020-06-01",2211.85,132.56,91.21,NA
"Brazil","2020-06-02",2211.85,132.56,91.21,NA
"Brazil","2020-06-03",2211.85,132.56,91.21,NA
"Brazil","2020-06-04",2211.85,132.56,91.21,NA
"Brazil","2020-06-05",2211.85,132.56,91.21,NA
"Brazil","2020-06-06",2211.85,132.56,91.21,NA
"Brazil","2020-06-07",3070.62,166.55,122.68,NA
"Brazil","2020-06-08",3070.62,166.55,122.68,NA
"Brazil","2020-06-09",3070.62,166.55,122.68,NA
"Brazil","2020-06-10",3070.62,166.55,122.68,NA
"Brazil","2020-06-11",3070.62,166.55,122.68,NA
"Brazil","2020-06-12",3070.62,166.55,122.68,NA
"Brazil","2020-06-13",3070.62,166.55,122.68,NA
"Brazil","2020-06-14",3940.96,198.89,124.34,NA
"Brazil","2020-06-15",3940.96,198.89,124.34,NA
"Brazil","2020-06-16",3940.96,198.89,124.34,NA
"Brazil","2020-06-17",3940.96,198.89,124.34,NA
"Brazil","2020-06-18",3940.96,198.89,124.34,NA
"Brazil","2020-06-19",3940.96,198.89,124.34,NA
"Brazil","2020-06-20",3940.96,198.89,124.34,NA
"Brazil","2020-06-21",4911.47,232.78,138.64,NA
"Brazil","2020-06-22",4911.47,232.78,138.64,NA
"Brazil","2020-06-23",4911.47,232.78,138.64,NA
"Brazil","2020-06-24",4911.47,232.78,138.64,NA
"Brazil","2020-06-25",4911.47,232.78,138.64,NA
"Brazil","2020-06-26",4911.47,232.78,138.64,NA
